job title,location,company name,job experience
Data Engineer,"Cairo, Egypt",Coformatique -,"Full Time
Hybrid
Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Spark
· kafka
· Hive
·
Computer Engineering
· Computer Science
·
Data Modeling
· Information Technology (IT)
· Programming"
Senior Data Engineer,"Maadi, Cairo, Egypt",Paymob Solutions -,"Full Time
Hybrid
Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·
Engineering
· Python
· SQL
· Database
· Pandas
· Computer Science
· Programming
· Software Development"
Senior Data Engineer,"Mohandessin, Giza, Egypt",Nahdet Misr Publishing Group -,"Part Time
Hybrid
Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research
· AWS
·
Engineering
· Azure
· Analysis
· Cloud Development
· SQL
·
Data Modeling"
Data Analyst Lead / Manager,"Maadi, Cairo, Egypt",WUZZUF -,"Full Time
Hybrid
Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· Analysis
· business
·
Computer Engineering
· Computer Science
·
Data Analysis
·
Engineering
· Microsoft Excel"
Senior Data Modeler (Banking Experience Required),"Maadi, Cairo, Egypt",BBI-Consultancy -,"Full Time
Hybrid
Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· Computer Science
·
Database
·
Engineering
· Python
· SQL
· Programming
·
Data Warehousing"
Data Center Design Leader,"Cairo, Egypt",Mobi Egypt -,"Full Time
On-site
Experienced · 5 - 10 Yrs of Exp · Engineering - Telecom/Technology
· Design
·
Data center
· Information Technology (IT)
· Computer Science
·
Engineering
· CDCDP certification
· DCCA certification
· Uptime Institute Certified
·
Data Center design"
Electrical Maintenance Engineer,"Port Said, Egypt",Confidential -,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · Engineering - Oil & Gas/Energy
· ISO 45001:2018 & ISO 14001:2015 )
· electrical instruments, equipment, facilities, components, products, and systems.
· installation, maintenance, support, documentation, and testing activities
· Inspect completed installations and observe operations
· Inspect and test equipment
·
electrical consumption data."
Senior Network Engineers,"Katameya, Cairo, Egypt",Teleperformance - Egypt -,"Full Time
On-site
Experienced · 5 - 8 Yrs of Exp · Engineering - Telecom/Technology
· computer
· Computer Science
· configuring
·
Data center
·
Engineering
· Fortinet
· Implementing
· Information Technology (IT)
· network"
Analysis Engineer,"10th of Ramadan City, Sharqia, Egypt",SMD Industrial -,"Full Time
On-site
Experienced · 2 - 5 Yrs of Exp · Manufacturing/Production · Analyst/Research ·
Data Analysis
· Analytical Skills
· business
· Manufacturing
·
Engineering"
Data Annotation Team Lead,"Cairo, Egypt",Eg Insurtech -,"Full Time
Hybrid
Experienced · 3 - 5 Yrs of Exp · IT/Software Development
· Computer Science
·
data labeling
· English
· Skills
·
Software Engineering
·
#data
· Artificial Intelligence"
Big Data Engineer,"Mohandessin, Giza, Egypt",Wakeb Data -,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology
· Architecture
·
Big Data
· business
·
Computer Engineering
·
Data Management
· Information Technology (IT)"
Senior Data Center Engineer - Hyper Converged Implementation,"New Cairo, Cairo, Egypt",IT Dynamics Integrated Solutions -,"Full Time
On-site
Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·
Data Center
· hyper converged
· Vmware
· Hyper-V
· DevOps
· Storage
· Servers"
